INFO:root:episode:15  step:5 Cost:53.77703140531427 min Cost:48.98707333137705 Reward:0 global reward:400 Action:[2, 0]
INFO:root:episode:15  step:6 Cost:53.741459668155464 min Cost:36.50662932311802 Reward:-172.34830345037443 global reward:400 Action:[3, 1]
INFO:root:episode:16  step:1 Cost:19.448452244896643 min Cost:16.805264450024687 Reward:0 global reward:400 Action:[1, 4]
INFO:root:episode:16  step:2 Cost:29.885236495194917 min Cost:28.17629619239468 Reward:0 global reward:400 Action:[3, 2]
INFO:root:episode:16  step:3 Cost:37.23383921618853 min Cost:36.69382131940202 Reward:0 global reward:400 Action:[2, 3]
INFO:root:episode:16  step:4 Cost:36.78697001970618 min Cost:36.48707333137705 Reward:0 global reward:400 Action:[0, 5]
INFO:root:episode:16  step:5 Cost:49.253280258020574 min Cost:48.98707333137705 Reward:0 global reward:400 Action:[2, 1]
INFO:root:episode:16  step:6 Cost:49.253280258020574 min Cost:36.50662932311802 Reward:-127.46650934902554 global reward:400 Action:[0, 0]
INFO:root:episode:17  step:1 Cost:19.448452244896643 min Cost:16.805264450024687 Reward:0 global reward:400 Action:[1, 4]
INFO:root:episode:17  step:2 Cost:42.17815156732427 min Cost:28.17629619239468 Reward:0 global reward:400 Action:[2, 1]
INFO:root:episode:17  step:3 Cost:46.344818233990935 min Cost:36.69382131940202 Reward:0 global reward:400 Action:[2, 3]
INFO:root:episode:17  step:4 Cost:44.812637798510615 min Cost:36.48707333137705 Reward:0 global reward:400 Action:[0, 0]
INFO:root:episode:17  step:5 Cost:53.14597113184395 min Cost:48.98707333137705 Reward:0 global reward:400 Action:[0, 5]
INFO:root:episode:17  step:6 Cost:53.14597113184395 min Cost:36.50662932311802 Reward:-166.3934180872593 global reward:400 Action:[1, 2]
INFO:root:episode:18  step:1 Cost:19.130845782501908 min Cost:16.805264450024687 Reward:0 global reward:400 Action:[1, 4]
INFO:root:episode:18  step:2 Cost:27.675466148195436 min Cost:28.17629619239468 Reward:0 global reward:400 Action:[3, 2]
INFO:root:episode:18  step:3 Cost:35.65118499866751 min Cost:36.69382131940202 Reward:0 global reward:400 Action:[2, 3]
INFO:root:episode:18  step:4 Cost:35.271308214205995 min Cost:36.48707333137705 Reward:0 global reward:400 Action:[0, 5]
INFO:root:episode:18  step:5 Cost:47.771308214205995 min Cost:48.98707333137705 Reward:0 global reward:400 Action:[2, 0]
INFO:root:episode:18  step:6 Cost:41.55908477175541 min Cost:36.50662932311802 Reward:-50.52455448637389 global reward:400 Action:[2, 1]
INFO:root:episode:19  step:1 Cost:19.130845782501908 min Cost:16.805264450024687 Reward:0 global reward:400 Action:[1, 4]
INFO:root:episode:19  step:2 Cost:27.675466148195436 min Cost:28.17629619239468 Reward:0 global reward:400 Action:[3, 0]
INFO:root:episode:19  step:3 Cost:36.00879948152876 min Cost:36.69382131940202 Reward:0 global reward:400 Action:[1, 5]
INFO:root:episode:19  step:4 Cost:36.00879948152876 min Cost:36.48707333137705 Reward:0 global reward:400 Action:[3, 2]
INFO:root:episode:19  step:5 Cost:44.58932169632792 min Cost:48.98707333137705 Reward:0 global reward:400 Action:[2, 3]
INFO:root:episode:19  step:6 Cost:57.08932169632792 min Cost:36.50662932311802 Reward:-205.82692373209903 global reward:400 Action:[2, 1]
INFO:root:episode:20  step:1 Cost:19.130845782501908 min Cost:16.805264450024687 Reward:0 global reward:400 Action:[1, 4]
INFO:root:episode:20  step:2 Cost:43.7857657192414 min Cost:28.17629619239468 Reward:0 global reward:400 Action:[3, 2]
INFO:root:episode:20  step:3 Cost:52.92866260376741 min Cost:36.69382131940202 Reward:0 global reward:400 Action:[2, 3]
INFO:root:episode:20  step:4 Cost:48.06506424871523 min Cost:36.48707333137705 Reward:0 global reward:400 Action:[0, 5]
INFO:root:episode:20  step:5 Cost:60.56506424871523 min Cost:48.98707333137705 Reward:0 global reward:400 Action:[2, 1]
INFO:root:episode:20  step:6 Cost:46.72226676741521 min Cost:36.50662932311802 Reward:-102.15637444297194 global reward:400 Action:[2, 0]
INFO:root:episode:21  step:1 Cost:32.034350442276285 min Cost:16.805264450024687 Reward:0 global reward:400 Action:[1, 4]
INFO:root:episode:21  step:2 Cost:48.607630094069556 min Cost:28.17629619239468 Reward:0 global reward:400 Action:[3, 2]
INFO:root:episode:21  step:3 Cost:65.27429676073622 min Cost:36.69382131940202 Reward:0 global reward:400 Action:[1, 1]
INFO:root:episode:21  step:4 Cost:65.21949711041823 min Cost:36.48707333137705 Reward:0 global reward:400 Action:[2, 3]
INFO:root:episode:21  step:5 Cost:60.22866850602414 min Cost:48.98707333137705 Reward:0 global reward:400 Action:[0, 5]
INFO:root:episode:21  step:6 Cost:60.22866850602414 min Cost:36.50662932311802 Reward:-237.2203918290612 global reward:400 Action:[2, 0]
INFO:root:episode:22  step:1 Cost:31.978355105966305 min Cost:16.805264450024687 Reward:0 global reward:400 Action:[1, 4]
INFO:root:episode:22  step:2 Cost:39.79875799771173 min Cost:28.17629619239468 Reward:0 global reward:400 Action:[3, 1]
INFO:root:episode:22  step:3 Cost:45.748855759728954 min Cost:36.69382131940202 Reward:0 global reward:400 Action:[2, 3]
INFO:root:episode:22  step:4 Cost:46.97116850848857 min Cost:36.48707333137705 Reward:0 global reward:400 Action:[0, 0]
INFO:root:episode:22  step:5 Cost:55.30450184182191 min Cost:48.98707333137705 Reward:0 global reward:400 Action:[0, 5]
INFO:root:episode:22  step:6 Cost:52.690259214258084 min Cost:36.50662932311802 Reward:-161.83629891140066 global reward:400 Action:[1, 2]
INFO:root:episode:23  step:1 Cost:19.6584548825663 min Cost:16.805264450024687 Reward:0 global reward:400 Action:[1, 4]
INFO:root:episode:23  step:2 Cost:29.457726738070257 min Cost:28.17629619239468 Reward:0 global reward:400 Action:[3, 3]
INFO:root:episode:23  step:3 Cost:41.15830658972561 min Cost:36.69382131940202 Reward:0 global reward:400 Action:[0, 5]
INFO:root:episode:23  step:4 Cost:45.32497325639228 min Cost:36.48707333137705 Reward:0 global reward:400 Action:[1, 2]
INFO:root:episode:23  step:5 Cost:61.99163992305895 min Cost:48.98707333137705 Reward:0 global reward:400 Action:[0, 1]
INFO:root:episode:23  step:6 Cost:52.66370117700417 min Cost:36.50662932311802 Reward:-161.5707185388615 global reward:400 Action:[2, 0]
INFO:root:episode:24  step:1 Cost:19.6584548825663 min Cost:16.805264450024687 Reward:0 global reward:400 Action:[1, 4]
INFO:root:episode:24  step:2 Cost:35.74394124638942 min Cost:28.17629619239468 Reward:0 global reward:400 Action:[3, 2]
INFO:root:episode:24  step:3 Cost:42.394294829016 min Cost:36.69382131940202 Reward:0 global reward:400 Action:[2, 3]
INFO:root:episode:24  step:4 Cost:42.394294829016 min Cost:36.48707333137705 Reward:0 global reward:400 Action:[3, 1]
INFO:root:episode:24  step:5 Cost:54.89429482901599 min Cost:48.98707333137705 Reward:0 global reward:400 Action:[2, 0]
INFO:root:episode:24  step:6 Cost:54.89429482901599 min Cost:36.50662932311802 Reward:-183.8766550589797 global reward:400 Action:[2, 5]
INFO:root:episode:25  step:1 Cost:29.838637000970515 min Cost:16.805264450024687 Reward:0 global reward:400 Action:[1, 4]
INFO:root:episode:25  step:2 Cost:40.736372852101745 min Cost:28.17629619239468 Reward:0 global reward:400 Action:[3, 2]
INFO:root:episode:25  step:3 Cost:44.54256675539835 min Cost:36.69382131940202 Reward:0 global reward:400 Action:[2, 3]
INFO:root:episode:25  step:4 Cost:39.08416314048636 min Cost:36.48707333137705 Reward:0 global reward:400 Action:[0, 5]
INFO:root:episode:25  step:5 Cost:51.58416314048636 min Cost:48.98707333137705 Reward:0 global reward:400 Action:[2, 0]
INFO:root:episode:25  step:6 Cost:39.08416314048636 min Cost:36.50662932311802 Reward:-25.77533817368341 global reward:400 Action:[2, 1]
INFO:root:episode:26  step:1 Cost:29.838637000970515 min Cost:16.805264450024687 Reward:0 global reward:400 Action:[1, 4]
INFO:root:episode:26  step:2 Cost:51.2323945639161 min Cost:28.17629619239468 Reward:0 global reward:400 Action:[3, 2]
INFO:root:episode:26  step:3 Cost:53.13895550635974 min Cost:36.69382131940202 Reward:0 global reward:400 Action:[2, 3]
INFO:root:episode:26  step:4 Cost:47.97209771628731 min Cost:36.48707333137705 Reward:0 global reward:400 Action:[0, 5]
